,source_user,username,target_user
13566,1449057511252897795,gamaliel_matheu,DiariodeCA
13575,1554522248232452097,IxChel71,FJimenezmingob
13576,1554522248232452097,IxChel71,mingobguate
13577,1554522248232452097,IxChel71,PNCdeGuatemala
13578,1554522248232452097,IxChel71,DTransitoPNC
13579,1554522248232452097,IxChel71,_SPGuatemala
13580,1554522248232452097,IxChel71,GuatemalaGob
13581,1554522248232452097,IxChel71,BArevalodeLeon
13582,1554522248232452097,IxChel71,DiariodeCA
13583,2400135336,davefilipi,royalvaradogt
13584,2400135336,davefilipi,BArevalodeLeon
13585,1697051860639633408,Alfredo93672277,VicenteCarrera_
13586,1697051860639633408,Alfredo93672277,Sandra_JovelP
13587,1697051860639633408,Alfredo93672277,UCLCGt
13588,1697051860639633408,Alfredo93672277,mingobguate
13592,1685665539165753344,de_don61347,C_SMaldonado
13593,1685665539165753344,de_don61347,el_pais
13597,1647675935724797954,Humbert41818287,FJimenezmingob
13598,1647675935724797954,Humbert41818287,mingobguate
13599,1647675935724797954,Humbert41818287,PNCdeGuatemala
13600,1647675935724797954,Humbert41818287,DTransitoPNC
13601,1647675935724797954,Humbert41818287,_SPGuatemala
13602,1647675935724797954,Humbert41818287,GuatemalaGob
13604,1647675935724797954,Humbert41818287,DiariodeCA
13606,1571968334962331649,EmgaGuerrero,BArevalodeLeon
13607,821313911634984960,guate_opina,SandraP28336385
13608,821313911634984960,guate_opina,BArevalodeLeon
13611,1286946170,GusAR10,AneliseHundman
13612,1286946170,GusAR10,BArevalodeLeon
13613,1286946170,GusAR10,KarinHerreraVP
13614,1286946170,GusAR10,samuel_pz
13615,1286946170,GusAR10,rocasgt
13616,1286946170,GusAR10,AVillagran502
13617,1286946170,GusAR10,DavidishosI
13618,1286946170,GusAR10,rochaeta
13619,1286946170,GusAR10,Vicpalala
13620,1286946170,GusAR10,luicacerg
13621,1286946170,GusAR10,Merce_Moon
13622,1286946170,GusAR10,josecsagt
13623,1286946170,GusAR10,luisvengt
13624,1302349457313476610,ElrevoltijoGT,OEA_oficial
13625,1302349457313476610,ElrevoltijoGT,Almagro_OEA2015
13628,974397092,suchiniluis,estuardoespana
13630,1622762022214434816,UuujjjR,GuatemalaGob
13635,2767631621,garcia196711,royalvaradogt
